ICE;IAMOT
Stefan Felix Nothacker, Stuttgart Financial, Germany;
Stephen Cross, Georgia Institute of Technology, USA;
Takao  Fujiwara, Toyohashi University of Technology, Japan;
Thomas Abele, FOM Hochschule für Oekonomie und Management, Germany;
Thomas Baeck, Leiden University, LIACS, Netherlands;
Thomas Göllinger, HTWG Konstanz, IST Institute, Germany;
Thomas Holzmann, Strascheg Center for Entrepreneurship, Germany;
Thomas J. Marlowe, Seton Hall University, Mathematics & Computer Science, United States;
Tiago Cardoso, Uninova – Instituto de Desenvolvimento de Novas Tecnologias, Portugal;
Tiberiu Letia, Technical University of Cluj-Napoca, Romania;
Tim Gasser, HTWG Konstanz, Germany;
Tobias Schmidt, University of the German Federal Armed Forces Munich, Germany;
Uwe Fachinger, University of Vechta, Department of Economics and Demgraphy, Institute of Gerontology, Germany;
Vasileios Mavroeidis, Hellenic Open University, GREECE;
Vincent Hargaden, University College Dublin, Ireland;
Volker Stich, FIR – Aachen, Germany;
Wan Nurul Karimah Wan Ahmad, Delft University of Technology, Transport & Logistics Group, Malaysia;
Wolfgang Burr, University of Stuttgart, Germany;
Xiaofeng Wang, Free University of Bozen-Belzano, Italy;
Yngve Dahle, NTNU, Norway;
Yuri Genrihovich Gertsik, Bauman Moscow State Technical University, Industrial logistics, Russia;
Zeeshan Ahmed, University of Connecticut Health Center, Genetics and Genome Sciences, United States;
